InterZone,Area (hectares),simd_mode,Population
S02001236,1955,4,4763
S02001237,1975,5,5147
S02001238,527,5,6935
S02001239,149,2,5610
S02001240,83,5,4513
S02001241,112,5,4023
S02001242,142,5,5021
S02001243,900,5,5811
S02001244,112,2,3816
S02001245,154,5,4523
S02001246,55,5,5608
S02001247,120,5,3663
S02001248,91,5,6230
S02001249,69,3,3982
S02001250,87,3,2605
S02001251,54,5,4900
S02001252,110,5,4960
S02001253,114,2,3929
S02001254,605,4,5211
S02001255,112,5,3972
S02001256,705,4,3475
S02001257,101,3,5276
S02001258,152,1,4167
S02001259,103,2,3208
S02001260,69,4,3956
S02001261,76,4,6935
S02001262,90,2,3856
S02001263,88,5,5653
S02001264,123,1,4712
S02001265,165,5,4131
S02001266,96,1,5441
S02001267,101,2,3848
S02001268,117,4,6189
S02001269,90,2,5198
S02001270,92,2,4491
S02001271,84,3,4718
S02001272,84,2,3401
S02001273,93,2,5340
S02001274,87,1,5032
S02001275,2722,5,6232
S02001276,141,3,4634
S02001277,663,5,5298
S02001278,2102,3,5183
S02001279,134,5,3919
S02001280,1004,5,4640
S02001281,118,5,4752
S02001282,168,4,3656
S02001283,182,5,2598
S02001284,1292,5,3899
S02001285,125983,4,3019
S02001286,46290,5,5266
S02001287,12507,4,4471
S02001288,10127,3,4058
S02001289,15295,4,5616
S02001290,22026,4,4864
S02001291,165,5,5139
S02001292,158,5,5589
S02001293,84,5,2878
S02001294,117,5,4208
S02001295,2725,4,5911
S02001296,24249,4,5157
S02001297,168,5,4173
S02001298,149,5,2851
S02001299,14336,5,4344
S02001300,43020,4,3903
S02001301,19847,5,6406
S02001302,114,5,3468
S02001303,179,4,5263
S02001304,214,4,5218
S02001305,13011,5,7538
S02001306,5793,5,5864
S02001307,1615,5,3430
S02001308,3126,5,5095
S02001309,120,5,3793
S02001310,185,5,3881
S02001311,3725,4,4249
S02001312,5607,5,5317
S02001313,226,5,6064
S02001314,160,5,3966
S02001315,19977,4,4761
