InterZone,studentPop
S02001236,258
S02001237,301
S02001238,408
S02001239,755
S02001240,350
S02001241,178
S02001242,211
S02001243,262
S02001244,155
S02001245,358
S02001246,992
S02001247,265
S02001248,626
S02001249,854
S02001250,589
S02001251,541
S02001252,380
S02001253,200
S02001254,197
S02001255,163
S02001256,171
S02001257,375
S02001258,228
S02001259,733
S02001260,1700
S02001261,2603
S02001262,624
S02001263,2158
S02001264,1636
S02001265,2544
S02001266,441
S02001267,383
S02001268,664
S02001269,410
S02001270,186
S02001271,176
S02001272,190
S02001273,282
S02001274,318
S02001275,335
S02001276,109
S02001277,175
S02001278,228
S02001279,223
S02001280,237
S02001281,307
S02001282,197
S02001283,159
S02001284,177
S02001285,82
S02001286,203
S02001287,166
S02001288,156
S02001289,233
S02001290,182
S02001291,230
S02001292,318
S02001293,150
S02001294,284
S02001295,195
S02001296,200
S02001297,183
S02001298,171
S02001299,179
S02001300,179
S02001301,233
S02001302,149
S02001303,219
S02001304,185
S02001305,204
S02001306,194
S02001307,97
S02001308,262
S02001309,238
S02001310,216
S02001311,172
S02001312,257
S02001313,274
S02001314,229
S02001315,183
S02001316,267
S02001317,220
S02001318,162
S02001319,189
S02001320,169
S02001321,159
S02001322,120
S02001323,147
S02001324,107
S02001325,135
S02001326,196
S02001327,181
S02001328,117
S02001329,120
S02001330,179
S02001331,116
S02001332,130
S02001333,186
S02001334,156
S02001335,101
S02001336,270
S02001337,183
S02001338,236
S02001339,268
S02001340,221
S02001341,131
S02001342,127
S02001343,177
S02001344,282
S02001345,276
S02001346,159
S02001347,237
S02001348,242
S02001349,280
S02001350,90
S02001351,300
S02001352,182
S02001353,236
S02001354,266
S02001355,251
S02001356,150
S02001357,241
S02001358,219
S02001359,132
S02001360,156
S02001361,173
S02001362,169
S02001363,229
S02001364,201
S02001365,210
S02001366,243
S02001367,131
S02001368,291
S02001369,127
S02001370,96
S02001371,250
S02001372,120
S02001373,170
S02001374,67
S02001375,89
S02001376,127
S02001377,86
S02001378,108
S02001379,104
S02001380,144
S02001381,93
S02001382,153
S02001383,65
S02001384,72
S02001385,248
S02001386,203
S02001387,213
S02001388,217
S02001389,262
S02001390,133
S02001391,220
S02001392,140
S02001393,212
S02001394,253
S02001395,91
S02001396,272
S02001397,90
S02001398,210
S02001399,225
S02001400,197
S02001401,211
S02001402,223
S02001403,254
S02001404,150
S02001405,119
S02001406,114
S02001407,135
S02001408,137
S02001409,63
S02001410,89
S02001411,151
S02001412,156
S02001413,94
S02001414,191
S02001415,172
S02001416,136
S02001417,89
S02001418,121
S02001419,204
S02001420,148
S02001421,208
S02001422,106
S02001423,278
S02001424,189
S02001425,189
S02001426,132
S02001427,193
S02001428,123
S02001429,124
S02001430,160
S02001431,134
S02001432,103
S02001433,127
S02001434,112
S02001435,99
S02001436,170
S02001437,142
S02001438,144
S02001439,142
S02001440,80
S02001441,110
S02001442,194
S02001443,92
S02001444,154
S02001445,1240
S02001446,4616
S02001447,1414
S02001448,2191
S02001449,1345
S02001450,577
S02001451,354
S02001452,876
S02001453,207
S02001454,215
S02001455,201
S02001456,136
S02001457,108
S02001458,250
S02001459,203
S02001460,226
S02001461,340
S02001462,333
S02001463,308
S02001464,404
S02001465,194
S02001466,233
S02001467,230
S02001468,211
S02001469,314
S02001470,219
S02001471,418
S02001472,201
S02001473,296
S02001474,296
S02001475,241
S02001476,128
S02001477,172
S02001478,258
S02001479,128
